"Local", Área da unidade territorial
"Sobradinho", 1355.972
"Souto Soares", 1026.634
"Tabocas do Brejo Velho", 1437.189
"Tanque Novo", 729.516
"Tanquinho", 243.839
"Taperoá", 454.081
"Tapiramutá", 714.691
"Teodoro Sampaio", 244.613
"Teofilândia", 351.892
"Teolândia", 289.600
"Terra Nova", 193.241
"Tucano", 2198.237
"Uauá", 3060.116
"Ubaíra", 659.138
"Ubatã", 177.643
"Uibaí", 545.298
"Umburanas", 1775.633
"Utinga", 633.760
"Valença", 1123.975
"Valente", 394.877
"Várzea da Roça", 468.407
"Várzea do Poço", 206.478
"Várzea Nova", 1225.892
"Varzedo", 221.399
"Vera Cruz", 297.537
"Wagner", 522.370
"Wanderley", 2920.579
"Wenceslau Guimarães", 655.239
"Xique-Xique", 5079.662
"Aracatu", 1489.803
"Boa Nova", 849.538
"Brumado", 2207.612
"Caetanos", 767.146
"Caetité", 2651.536
"Carinhanha", 2525.906
"Cocos", 10140.572
"Feira da Mata", 1176.111
"Gongogi", 202.194
"Guanambi", 1272.366
"Ibiassucê", 483.274
"Ibirapitanga", 472.694
"Itacaré", 726.265
"Itagi", 310.621
"Itagibá", 810.993
"Iuiu", 1525.141
"Jaborandi", 9955.113
"Jequié", 2969.039
"Malhada", 1979.194
"Malhada de Pedras", 550.550
"Manoel Vitorino", 2201.764
"Maraú", 848.885
"Mirante", 1172.860
"Palmas de Monte Alto", 2560.027
"Rio do Antônio", 777.903
"Tanhaçu", 1277.514
"Ubaitaba", 181.102
